sample	TCGA-BT-A20R-11	TCGA-GD-A3OP-11	TCGA-BT-A20U-11	TCGA-K4-A3WV-11	TCGA-CU-A0YN-11	TCGA-BL-A13J-11	TCGA-K4-A54R-11	TCGA-BT-A20N-11	TCGA-GD-A3OQ-11	TCGA-BT-A2LB-11	TCGA-BT-A20W-11	TCGA-CU-A0YR-11	TCGA-BT-A2LA-11	TCGA-K4-A5RI-11	TCGA-GC-A3WC-11	TCGA-GC-A6I3-11	TCGA-GD-A2C5-11	TCGA-BT-A20Q-11	TCGA-GC-A3BM-11
ARHGEF10L	-0.35319247	1.24040753	1.12140753	1.88860753	-0.05299247	0.73880753	0.60560753	0.35380753	1.41790753	1.11780753	-0.06229247	0.48470753	0.79550753	0.45560753	0.83690753	-0.15149247	0.29860753	0.98650753	0.32110753
C16orf13	-0.869389286	-0.788589286	-0.236489286	-0.257689286	-0.812989286	-0.805489286	-1.013189286	-0.820689286	-0.938789286	-0.609789286	-0.792889286	-0.719089286	0.066410714	-0.062889286	-0.729789286	1.205910714	-0.433689286	-0.543389286	-0.793989286
LOC100272146	-1.7172476	-1.5369476	-1.1873476	-0.0938476	-1.6862476	-1.4035476	-0.9207476	-1.7534476	0.2632524	-1.0554476	-0.5124476	-0.6171476	-1.1837476	-1.0414476	-0.5583476	0.0922524	-0.2506476	-1.6265476	-0.3977476
RPL37	-0.179388646	0.144511354	0.933011354	0.991711354	-0.927888646	-0.636188646	0.011811354	-0.523388646	-0.223588646	0.324811354	0.020811354	0.150011354	1.322111354	0.640711354	0.188311354	1.383011354	0.073011354	-0.605188646	0.422411354
ZNF700	-0.592124034	0.145975966	-0.160624034	0.602775966	-0.358024034	-0.260824034	-0.331224034	-0.971924034	0.297175966	-0.293924034	-0.862324034	-0.160624034	-0.749924034	-0.129324034	-0.022524034	0.276875966	-0.134324034	-0.699924034	0.274275966
ZNF707	-1.704666266	-0.311266266	-0.744466266	0.017933734	-0.819166266	-0.707266266	-0.408466266	-1.299266266	-0.503166266	-1.010766266	-0.970766266	-0.869266266	-0.598866266	0.375233734	-0.329866266	0.632133734	-0.352166266	-0.426466266	-0.883766266
NACAP1	0.530960062	1.233260062	1.191260062	1.531160062	-0.055739938	0.555360062	0.970860062	0.159960062	0.656660062	1.087460062	0.186860062	0.970660062	1.767460062	1.124760062	1.179360062	1.229160062	0.455960062	0.272460062	1.404260062
TCOF1	-0.093665119	-0.442565119	0.075934881	-0.274265119	0.245434881	0.435334881	-0.268365119	0.154734881	-0.264265119	-0.261365119	0.040134881	-0.098365119	-0.151865119	-0.190065119	0.061734881	0.643234881	-0.404065119	0.535834881	-0.448565119
RAB40C	-1.749090339	0.425709661	0.090009661	0.786009661	-1.075390339	-0.933790339	-0.604290339	-1.097490339	0.294209661	-0.671190339	-0.652890339	-0.746090339	0.441109661	0.058509661	-0.380990339	0.117309661	0.476209661	-0.660490339	-0.039690339
RAB40A	-1.238259157	-0.038059157	-1.079259157	0.775640843	-0.605659157	0.120440843	0.107640843	0.186940843	0.409140843	-0.441459157	-0.244459157	-1.067459157	0.141540843	0.599640843	1.148540843	2.072340843	-0.745959157	0.349140843	-0.058259157
